date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
01/01/2016,Y56,LONDON COMMISSIONING REGION,459328,1969775.36,0,0
01/01/2016,Y58,SOUTH WEST COMMISSIONING REGION,553365,2204961.82,0,0
01/01/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,617880,2373663.22,0,0
01/01/2016,Y59,SOUTH EAST COMMISSIONING REGION,722537,3527907.48,0,0
01/01/2016,Y62,NORTH WEST COMMISSIONING REGION,786178,3539775.7,0,0
01/01/2016,Y60,MIDLANDS COMMISSIONING REGION,944098,3745033.58,0,0
01/01/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,994992,3673556.62,0,0
01/02/2016,Y56,LONDON COMMISSIONING REGION,450409,1938647.6,0,0
01/02/2016,Y58,SOUTH WEST COMMISSIONING REGION,547234,2196081.51,0,0
01/02/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,612505,2342468.49,0,0
01/02/2016,Y59,SOUTH EAST COMMISSIONING REGION,719061,3551965.7,0,0
01/02/2016,Y62,NORTH WEST COMMISSIONING REGION,785300,3540245.53,0,0
01/02/2016,Y60,MIDLANDS COMMISSIONING REGION,944676,3803454.65,0,0
01/02/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,991975,3787762.71,0,0
01/03/2016,Y56,LONDON COMMISSIONING REGION,472615,2025078.12,0,0
01/03/2016,Y58,SOUTH WEST COMMISSIONING REGION,573821,2251684.54,0,0
01/03/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,646732,2435669.2,0,0
01/03/2016,Y59,SOUTH EAST COMMISSIONING REGION,748284,3579443.71,0,0
01/03/2016,Y62,NORTH WEST COMMISSIONING REGION,829544,3628607.7,0,0
01/03/2016,Y60,MIDLANDS COMMISSIONING REGION,990155,3895361.15,0,0
01/03/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,1049463,3756998.96,0,0
01/04/2016,Y56,LONDON COMMISSIONING REGION,481745,1969154.59,0,0
01/04/2016,Y58,SOUTH WEST COMMISSIONING REGION,589559,2180715.95,0,0
01/04/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,655410,2336720.21,0,0
01/04/2016,Y59,SOUTH EAST COMMISSIONING REGION,768271,3518256.91,0,0
01/04/2016,Y62,NORTH WEST COMMISSIONING REGION,838338,3467840.13,0,0
01/04/2016,Y60,MIDLANDS COMMISSIONING REGION,1010399,3709342.78,0,0
