date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2015-12-01,Y56,"LONDON COMMISSIONING REGION",56209,111081,0,0
2015-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",72350,164796.71,0,0
2015-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",75525,160832.47,0,0
2015-12-01,Y62,"NORTH WEST COMMISSIONING REGION",85241,243063.38,0,0
2015-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",88537,226143.91,0,0
2015-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",89149,209416.46,0,0
2015-12-01,Y60,"MIDLANDS COMMISSIONING REGION",113659,297603.66,0,0
2016-01-01,Y56,"LONDON COMMISSIONING REGION",51938,89836.62,0,0
2016-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",66397,135426.6,0,0
2016-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",67349,122706.69,0,0
2016-01-01,Y62,"NORTH WEST COMMISSIONING REGION",76041,188757.52,0,0
2016-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",79876,178759.34,0,0
2016-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",80857,164140.35,0,0
2016-01-01,Y60,"MIDLANDS COMMISSIONING REGION",103170,229656.2,0,0
2016-02-01,Y56,"LONDON COMMISSIONING REGION",51420,87062.67,0,0
2016-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",65802,126956.71,0,0
2016-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",66628,118260.81,0,0
2016-02-01,Y62,"NORTH WEST COMMISSIONING REGION",76423,187524.74,0,0
2016-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",79759,173686.34,0,0
2016-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",80575,163347.59,0,0
2016-02-01,Y60,"MIDLANDS COMMISSIONING REGION",103404,229298.85,0,0
2016-03-01,Y56,"LONDON COMMISSIONING REGION",54148,93498.66,0,0
2016-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",69790,137777.86,0,0
2016-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",70440,127035.33,0,0
2016-03-01,Y62,"NORTH WEST COMMISSIONING REGION",80846,207983.48,0,0
2016-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",83833,185469.77,0,0
2016-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",84276,165357.13,0,0
2016-03-01,Y60,"MIDLANDS COMMISSIONING REGION",107971,237688.63,0,0
2016-04-01,Y56,"LONDON COMMISSIONING REGION",54469,89326.51,0,0
2016-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",69188,134690.12,0,0
2016-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",71504,134794.96,0,0
2016-04-01,Y62,"NORTH WEST COMMISSIONING REGION",80649,189681.03,0,0
2016-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",84617,166426.08,0,0
2016-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",84896,186594.24,0,0
2016-04-01,Y60,"MIDLANDS COMMISSIONING REGION",108860,235783.91,0,0
2016-05-01,Y56,"LONDON COMMISSIONING REGION",52963,86589.7,0,0
2016-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",67311,134884.41,0,0
2016-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",68464,119781.26,0,0
2016-05-01,Y62,"NORTH WEST COMMISSIONING REGION",78771,186685.03,0,0
2016-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",81184,176665.86,0,0
2016-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",81715,154795.19,0,0
2016-05-01,Y60,"MIDLANDS COMMISSIONING REGION",105328,234094.75,0,0
2016-06-01,Y56,"LONDON COMMISSIONING REGION",55029,85936.98,0,0
2016-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",69635,127961.72,0,0
2016-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",71753,122117.47,0,0
2016-06-01,Y62,"NORTH WEST COMMISSIONING REGION",81873,203490.52,0,0
2016-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",84612,156650.5,0,0
2016-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",85387,175315.86,0,0
2016-06-01,Y60,"MIDLANDS COMMISSIONING REGION",110803,236180.91,0,0
2016-07-01,Y56,"LONDON COMMISSIONING REGION",54355,85746.91,0,0
2016-07-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",68190,120214.19,0,0
2016-07-01,Y58,"SOUTH WEST COMMISSIONING REGION",70023,115772.61,0,0
2016-07-01,Y62,"NORTH WEST COMMISSIONING REGION",80330,186210.25,0,0
2016-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",82359,167700.07,0,0
2016-07-01,Y59,"SOUTH EAST COMMISSIONING REGION",83066,151556.74,0,0
2016-07-01,Y60,"MIDLANDS COMMISSIONING REGION",106771,234700.52,0,0
2016-08-01,Y56,"LONDON COMMISSIONING REGION",55144,87244.07,0,0
2016-08-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",69353,122134.03,0,0
2016-08-01,Y58,"SOUTH WEST COMMISSIONING REGION",71794,127376.97,0,0
2016-08-01,Y62,"NORTH WEST COMMISSIONING REGION",82332,186699.53,0,0
2016-08-01,Y59,"SOUTH EAST COMMISSIONING REGION",84618,157868.79,0,0
2016-08-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",85419,167009.47,0,0
2016-08-01,Y60,"MIDLANDS COMMISSIONING REGION",110038,227671.51,0,0
2016-09-01,Y56,"LONDON COMMISSIONING REGION",54615,86751.59,0,0
2016-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",69503,125797.94,0,0
2016-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",72407,123558.56,0,0
2016-09-01,Y62,"NORTH WEST COMMISSIONING REGION",82833,195722.21,0,0
2016-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",84390,156199.77,0,0
2016-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",84583,177864.25,0,0
2016-09-01,Y60,"MIDLANDS COMMISSIONING REGION",110551,246030.12,0,0
2016-10-01,Y56,"LONDON COMMISSIONING REGION",53317,118384.68,0,0
2016-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",66284,167346.42,0,0
2016-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",69621,158431.85,0,0
2016-10-01,Y62,"NORTH WEST COMMISSIONING REGION",78374,223115.14,0,0
2016-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",81003,216799.04,0,0
2016-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",81613,206057.26,0,0
2016-10-01,Y60,"MIDLANDS COMMISSIONING REGION",105884,303874.33,0,0
2016-11-01,Y56,"LONDON COMMISSIONING REGION",53992,124901.47,0,0
2016-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",68037,167520.52,0,0
2016-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",71519,166146.36,0,0
2016-11-01,Y62,"NORTH WEST COMMISSIONING REGION",80128,227412.08,0,0
2016-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",82252,209649.03,0,0
2016-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",83150,218996.97,0,0
2016-11-01,Y60,"MIDLANDS COMMISSIONING REGION",108491,303356.5,0,0
2016-12-01,Y56,"LONDON COMMISSIONING REGION",53339,120652.33,0,0
2016-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",69445,176779.11,0,0
2016-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",73242,170244.23,0,0
2016-12-01,Y62,"NORTH WEST COMMISSIONING REGION",81696,234262,0,0
2016-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",82962,216849.46,0,0
2016-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",83604,218753.24,0,0
2016-12-01,Y60,"MIDLANDS COMMISSIONING REGION",109416,317005.73,0,0
2017-01-01,Y56,"LONDON COMMISSIONING REGION",52334,127949.55,0,0
2017-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",66865,185946.36,0,0
2017-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",69056,160505.19,0,0
2017-01-01,Y62,"NORTH WEST COMMISSIONING REGION",78864,285782.04,0,0
2017-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",80029,254137.64,0,0
2017-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",80840,244146.24,0,0
2017-01-01,Y60,"MIDLANDS COMMISSIONING REGION",105751,336695.53,0,0
2017-02-01,Y56,"LONDON COMMISSIONING REGION",48780,116036.06,0,0
2017-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",62793,173313.72,0,0
2017-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",64662,156682.51,0,0
2017-02-01,Y62,"NORTH WEST COMMISSIONING REGION",73141,268995.95,0,0
2017-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",74765,231447.25,0,0
2017-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",74957,242777.71,0,0
2017-02-01,Y60,"MIDLANDS COMMISSIONING REGION",98134,317029.82,0,0
2017-03-01,Y56,"LONDON COMMISSIONING REGION",55748,133819.82,0,0
2017-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",71475,200242.72,0,0
2017-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",74498,179182.33,0,0
2017-03-01,Y62,"NORTH WEST COMMISSIONING REGION",84757,310837.92,0,0
2017-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",86154,278124.22,0,0
2017-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",86392,267411.26,0,0
2017-03-01,Y60,"MIDLANDS COMMISSIONING REGION",113217,363566.78,0,0
2017-04-01,Y56,"LONDON COMMISSIONING REGION",48689,120068.75,0,0
2017-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",63110,185617.32,0,0
2017-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",66219,159724.94,0,0
2017-04-01,Y62,"NORTH WEST COMMISSIONING REGION",74723,285266.28,0,0
2017-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",75797,243481.14,0,0
2017-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",76191,251141.06,0,0
2017-04-01,Y60,"MIDLANDS COMMISSIONING REGION",99261,325198.72,0,0
2017-05-01,Y56,"LONDON COMMISSIONING REGION",53935,121767.01,0,0
2017-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",69385,183391.44,0,0
2017-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",72283,164828.22,0,0
2017-05-01,Y62,"NORTH WEST COMMISSIONING REGION",81656,266821.48,0,0
2017-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",82710,236199.26,0,0
2017-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",83910,245090.09,0,0
2017-05-01,Y60,"MIDLANDS COMMISSIONING REGION",109107,328690.24,0,0
2017-06-01,Y56,"LONDON COMMISSIONING REGION",53207,126600.23,0,0
2017-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",68461,188088.54,0,0
2017-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",71858,166882.45,0,0
2017-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",81985,254588.4,0,0
2017-06-01,Y62,"NORTH WEST COMMISSIONING REGION",82243,282833.15,0,0
2017-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",83789,253179.69,0,0
2017-06-01,Y60,"MIDLANDS COMMISSIONING REGION",108772,340933.93,0,0
2017-07-01,Y56,"LONDON COMMISSIONING REGION",52505,125958.73,0,0
2017-07-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",67048,186766.31,0,0
2017-07-01,Y58,"SOUTH WEST COMMISSIONING REGION",70359,170476.03,0,0
2017-07-01,Y62,"NORTH WEST COMMISSIONING REGION",79446,308407.34,0,0
2017-07-01,Y59,"SOUTH EAST COMMISSIONING REGION",79644,268123.78,0,0
2017-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",80902,272678.36,0,0
2017-07-01,Y60,"MIDLANDS COMMISSIONING REGION",105529,348172.25,0,0
2017-08-01,Y56,"LONDON COMMISSIONING REGION",52661,118234.85,0,0
2017-08-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",68985,182971.28,0,0
2017-08-01,Y58,"SOUTH WEST COMMISSIONING REGION",72410,165024.24,0,0
2017-08-01,Y59,"SOUTH EAST COMMISSIONING REGION",81466,255539.96,0,0
2017-08-01,Y62,"NORTH WEST COMMISSIONING REGION",81986,294449.63,0,0
2017-08-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",83604,266409.23,0,0
2017-08-01,Y60,"MIDLANDS COMMISSIONING REGION",108569,338690.04,0,0
2017-09-01,Y56,"LONDON COMMISSIONING REGION",51596,116583.42,0,0
2017-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",66767,171577.46,0,0
2017-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",70496,160891.19,0,0
2017-09-01,Y62,"NORTH WEST COMMISSIONING REGION",78787,286208.26,0,0
