date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
01/12/2015,Y56,LONDON COMMISSIONING REGION,143418,543211.29,0,0
01/12/2015,Y58,SOUTH WEST COMMISSIONING REGION,170400,560984.02,0,0
01/12/2015,Y61,EAST OF ENGLAND COMMISSIONING REGION,178388,743767.38,0,0
01/12/2015,Y62,NORTH WEST COMMISSIONING REGION,203998,978685.01,0,0
01/12/2015,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,210730,1007656.58,0,0
01/12/2015,Y59,SOUTH EAST COMMISSIONING REGION,216849,900639.35,0,0
01/12/2015,Y60,MIDLANDS COMMISSIONING REGION,264320,1240205.6,0,0
01/01/2016,Y56,LONDON COMMISSIONING REGION,134072,494702.81,0,0
01/01/2016,Y58,SOUTH WEST COMMISSIONING REGION,153303,448862.92,0,0
01/01/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,164590,637568.09,0,0
01/01/2016,Y62,NORTH WEST COMMISSIONING REGION,183659,830659.16,0,0
01/01/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,191807,839357.07,0,0
01/01/2016,Y59,SOUTH EAST COMMISSIONING REGION,198383,746239.92,0,0
01/01/2016,Y60,MIDLANDS COMMISSIONING REGION,241934,1026244.06,0,0
01/02/2016,Y56,LONDON COMMISSIONING REGION,131292,455096.22,0,0
01/02/2016,Y58,SOUTH WEST COMMISSIONING REGION,150472,436393.41,0,0
01/02/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,161498,606175.24,0,0
01/02/2016,Y62,NORTH WEST COMMISSIONING REGION,182614,812068.1,0,0
01/02/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,189610,830330.04,0,0
01/02/2016,Y59,SOUTH EAST COMMISSIONING REGION,195701,738631.49,0,0
01/02/2016,Y60,MIDLANDS COMMISSIONING REGION,239008,1020895.99,0,0
01/03/2016,Y56,LONDON COMMISSIONING REGION,136740,485287.99,0,0
01/03/2016,Y58,SOUTH WEST COMMISSIONING REGION,157476,460620.11,0,0
01/03/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,170392,651809.12,0,0
01/03/2016,Y62,NORTH WEST COMMISSIONING REGION,191295,845198.66,0,0
01/03/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,197844,863118.41,0,0
01/03/2016,Y59,SOUTH EAST COMMISSIONING REGION,201860,744222.03,0,0
01/03/2016,Y60,MIDLANDS COMMISSIONING REGION,249021,1054201.62,0,0
01/04/2016,Y56,LONDON COMMISSIONING REGION,136913,460797.29,0,0
01/04/2016,Y58,SOUTH WEST COMMISSIONING REGION,158691,463625.64,0,0
01/04/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,169045,627999.78,0,0
01/04/2016,Y62,NORTH WEST COMMISSIONING REGION,190003,806900.43,0,0
01/04/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,198245,876522.06,0,0
01/04/2016,Y59,SOUTH EAST COMMISSIONING REGION,203134,744238.13,0,0
01/04/2016,Y60,MIDLANDS COMMISSIONING REGION,250082,1033229.12,0,0
01/05/2016,Y56,LONDON COMMISSIONING REGION,131396,452298.54,0,0
01/05/2016,Y58,SOUTH WEST COMMISSIONING REGION,150863,430769.81,0,0
01/05/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,162655,598665.89,0,0
01/05/2016,Y62,NORTH WEST COMMISSIONING REGION,183355,791890.32,0,0
01/05/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,188808,812340.48,0,0
01/05/2016,Y59,SOUTH EAST COMMISSIONING REGION,194011,694820.53,0,0
01/05/2016,Y60,MIDLANDS COMMISSIONING REGION,238782,1016627.19,0,0
01/06/2016,Y56,LONDON COMMISSIONING REGION,136400,451045.82,0,0
01/06/2016,Y58,SOUTH WEST COMMISSIONING REGION,157563,428382.4,0,0
01/06/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,168670,605747.6,0,0
01/06/2016,Y62,NORTH WEST COMMISSIONING REGION,190306,823796.17,0,0
01/06/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,197314,816517.39,0,0
01/06/2016,Y59,SOUTH EAST COMMISSIONING REGION,201017,695788.25,0,0
01/06/2016,Y60,MIDLANDS COMMISSIONING REGION,249915,1023976,0,0
01/07/2016,Y56,LONDON COMMISSIONING REGION,133743,436265.65,0,0
01/07/2016,Y58,SOUTH WEST COMMISSIONING REGION,153082,412789.47,0,0
01/07/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,163931,573299.51,0,0
01/07/2016,Y62,NORTH WEST COMMISSIONING REGION,185616,753348.74,0,0
01/07/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,190388,762947.39,0,0
01/07/2016,Y59,SOUTH EAST COMMISSIONING REGION,196401,676365.41,0,0
01/07/2016,Y60,MIDLANDS COMMISSIONING REGION,240338,998380.4,0,0
01/08/2016,Y56,LONDON COMMISSIONING REGION,134688,423578.19,0,0
01/08/2016,Y58,SOUTH WEST COMMISSIONING REGION,157120,422006.97,0,0
01/08/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,166419,565513.93,0,0
01/08/2016,Y62,NORTH WEST COMMISSIONING REGION,189836,739612.92,0,0
01/08/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,196280,768931.11,0,0
01/08/2016,Y59,SOUTH EAST COMMISSIONING REGION,198587,657333.21,0,0
01/08/2016,Y60,MIDLANDS COMMISSIONING REGION,247008,947239.23,0,0
01/09/2016,Y56,LONDON COMMISSIONING REGION,136170,438806.54,0,0
01/09/2016,Y58,SOUTH WEST COMMISSIONING REGION,159116,428375.17,0,0
01/09/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,168438,594752.8,0,0
01/09/2016,Y62,NORTH WEST COMMISSIONING REGION,192738,805752.28,0,0
01/09/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,197191,804884.07,0,0
01/09/2016,Y59,SOUTH EAST COMMISSIONING REGION,201350,710173.7,0,0
